Zipcode,Population,MedianAge,HouseholdIncome,PerCapitaIncome,PovertyCount,PovertyRate,crime_rate,crime_rating
64120,346,58.5,57674,33291,43,12.42774566,1.141618497,High
64161,328,43.8,63281,31019,15,4.573170732,0.490853659,High
64106,8125,28.1,25649,18949,3773,46.43692308,0.347446154,High
64127,15419,34.5,21494,12924,6167,39.9961087,0.228484338,High
64130,21000,39.2,28493,15238,6003,28.58571429,0.224619048,High
64109,8764,37.3,19149,20015,3484,39.7535372,0.20219078,High
64125,1665,31.3,23462,11639,773,46.42642643,0.200600601,High
64105,3712,29.9,41928,41565,547,14.73599138,0.192079741,High
64108,8535,36.9,35521,27727,2576,30.18160516,0.18933802,High
64111,16083,33.2,37695,29875,3546,22.04812535,0.185848411,High
64123,9511,30.8,30383,13068,3531,37.12543371,0.183366628,High
64132,13621,30.3,26536,14035,4741,34.80654871,0.149768739,High
64124,11340,31.9,26288,13260,3604,31.78130511,0.13968254,High
64126,6011,28.8,25009,9196,2958,49.20978207,0.137913825,High
64128,12339,34.5,23805,13355,4309,34.92179269,0.135991571,High
64129,9100,36.2,32377,19682,2993,32.89010989,0.132527473,High
64147,817,19.2,14659,5098,528,64.62668299,0.127294982,High
64134,22292,32.2,38913,17299,5001,22.43405706,0.12502243,High
64153,5168,35.4,58845,33953,447,8.649380805,0.125,High
64110,15063,31.4,40066,24241,3301,21.91462524,0.115249286,High
64145,4915,53.1,62054,38822,340,6.917599186,0.113326551,High
64131,22850,38.1,40128,25512,3502,15.32603939,0.097592998,High
64117,14015,33.7,42742,21359,2588,18.46592936,0.082839814,High
64112,8308,31.8,54679,70500,1332,16.03273953,0.080885893,High
64137,12148,32.9,50315,21751,2407,19.81396115,0.069641093,High
64154,9811,35.8,53586,36394,490,4.994394047,0.068188768,High
64149,193,52.7,54792,44857,0,0,0.067357513,High
64114,24720,39.9,54532,34380,2154,8.713592233,0.064320388,High
64136,2148,38.3,31008,23150,214,9.962756052,0.060521415,High
64133,33567,40.1,48407,24573,3851,11.47257723,0.05553073,High
64158,5082,33.6,73125,29243,604,11.88508461,0.050964187,High
64119,27232,38.8,60787,30498,2236,8.21092832,0.050675676,High
64146,1689,43.3,40993,28252,353,20.89994079,0.050325636,High
64116,14938,40.9,42940,30844,1773,11.86905878,0.049738921,High
64139,1854,42.2,82829,30512,129,6.957928803,0.04368932,High
64138,25090,38.2,45904,23012,3735,14.88640893,0.042925468,High
64155,22581,35.1,72990,31264,1135,5.026349586,0.041716487,Medium
64151,24580,38.4,63957,34310,2316,9.422294548,0.037713588,Medium
64118,41146,34.9,49994,25491,4824,11.72410441,0.034073786,Medium
64156,5400,31.8,69643,33597,561,10.38888889,0.031851852,Medium
64113,11718,41.7,113536,66601,310,2.645502646,0.030295272,Medium
64157,17030,31.4,100873,35494,308,1.808573106,0.028655314,Medium
64166,252,36.7,132708,45977,0,0,0.015873016,Medium
64152,26430,38.3,79368,39910,1342,5.077563375,0.015437003,Medium
64164,341,58.6,31406,33330,16,4.692082111,0.014662757,Medium
61332,83,44.4,43906,25681,7,8.43373494,0.012048193,Medium
64163,785,31.3,40125,21028,178,22.67515924,0.010191083,Medium
74117,150,54.4,66188,34162,18,12,0.006666667,Medium
54123,230,41.9,63224,24372,14,6.086956522,0.004347826,Medium
61451,534,37,72386,41451,34,6.367041199,0.003745318,Medium
64167,280,36.9,138333,49219,0,0,0.003571429,Medium
54137,1071,44.7,52232,24797,31,2.89449113,0.001867414,Medium
64019,1732,39.9,47928,24406,224,12.9330254,0.001732102,Medium
61434,3226,48.2,40860,25222,391,12.12027278,0.001239926,Medium
61430,807,42.5,51333,25695,62,7.682775713,0.001239157,Medium
64018,823,46,61786,30507,36,4.374240583,0.001215067,Medium
61437,900,47.4,55144,28458,27,3,0.001111111,Medium
64016,4775,37.5,57981,24547,569,11.91623037,0.000837696,Low
46156,1519,39.7,47835,20328,427,28.11059908,0.000658328,Low
64150,3131,37.9,39390,22313,652,20.82401789,0.000638774,Low
64053,4798,38.5,35115,16885,1313,27.36556899,0.000625261,Low
54128,1763,44,39185,22130,216,12.25184345,0.000567215,Low
64030,24673,33.2,43121,20569,3919,15.88375958,0.000526892,Low
54112,2189,38.7,48491,23291,183,8.359981727,0.00045683,Low
54111,2289,46.1,53036,26078,134,5.854084753,0.000436872,Low
66105,2337,33.4,29833,12085,679,29.05434318,0.000427899,Low
61427,2479,47.1,50216,25882,274,11.05284389,0.000403388,Low
64068,36798,38.2,66225,31331,3336,9.065710093,0.000380455,Low
54154,5568,41.2,42233,24959,715,12.84123563,0.000359195,Low
64040,5954,42.7,49755,24221,778,13.06684582,0.000335909,Low
64052,21723,38.1,35954,19886,5481,25.23132164,0.000322239,Low
64070,3118,37.5,73291,28790,147,4.714560616,0.000320718,Low
54129,3161,43.4,53616,25955,174,5.504587156,0.000316356,Low
64079,12664,36.5,81778,34449,857,6.76721415,0.000315856,Low
54151,3376,45.7,45813,23500,447,13.24052133,0.000296209,Low
64055,33281,43.7,51375,26826,2938,8.82785974,0.000270425,Low
66101,13255,28,22753,10810,5516,41.6144851,0.00022633,Low
63127,4784,50.7,88469,57261,468,9.782608696,0.00020903,Low
64057,14593,40.7,58500,29003,1670,11.44384294,0.000205578,Low
66111,10409,35.3,49124,20465,1423,13.67086175,0.000192141,Low
